ID;SKU;Estado;Visible en tienda;Línea;Categoría;Subcategoría;Nombre;Marca;Precio;Disponibilidad;Descripción;Talla;Color;Etiqueta;Carpeta categoría;Carpeta producto;Imágenes;Registro fotográfico visible;Cantidad de fotografías
B91;BC-010;Activo;No;Beauty Care;Accesorios Beauty Care;Cepillo;Cepillo desenrredante;Akarella;8000;Disponible;Cepillo desenrredante de Akarella, accesorio de belleza pensado para facilitar tareas de aplicación, difuminado o arreglo dentro de la rutina personal, según el tipo de herramienta. Su formato práctico permite complementar los productos que ya utilizas. Revisa la referencia y confirma disponibilidad con LIHEN.CO.;Por confirmar;Por confirmar;Consulta disponibilidad;;;;No;0
B92;BC-005;Activo;No;Beauty Care;Maquillaje / rostro;Base;Base matte Tono Becca 00;Alissha Beauty;20115;Disponible;Base matte Tono Becca 00 de Alissha Beauty, base de maquillaje para complementar la preparación del rostro y trabajar un acabado más uniforme según la técnica de aplicación. La referencia corresponde a Becca 00. Combínalo con el resto de tu rutina de maquillaje y confirma con LIHEN.CO que el tono disponible corresponda a lo que buscas.;Por confirmar;Por confirmar;Consulta disponibilidad;;;;No;0
B93;BC-078;Activo;No;Beauty Care;Maquillaje / ojos;Pestañina;Pestañina Anik;Ani-K;22000;Disponible / por confirmar;Pestañina Anik de Ani-K, pestañina para destacar la mirada y complementar el maquillaje de ojos. Está pensada para definir visualmente las pestañas y acompañar distintos estilos de maquillaje, desde un acabado cotidiano hasta uno más intenso. Confirma con LIHEN.CO la referencia disponible antes de realizar tu pedido.;Por confirmar;Por confirmar;Consulta disponibilidad;;;;No;0
B94;BC-077;Activo;No;Beauty Care;Maquillaje / labios;Lip;Atenea Lip Oil;Atenea;32000;Disponible;"Lip Oil de Atenea con textura ligera y sensación no pegajosa, pensado para aportar un acabado luminoso con un toque suave de color. La marca indica que puede usarse solo o sobre el labial, por lo que funciona como una opción versátil para el maquillaje diario. Presentación de 5 ml; confirma con LIHEN.CO el tono disponible antes de realizar tu pedido.";Por confirmar;Por confirmar;Consulta disponibilidad;;;;No;0
B95;BC-009;Activo;No;Beauty Care;Accesorios Beauty Care;Beauty Pomos;Pomos de corazon x3;Beauty tool;7000;Disponible;Pomos de corazon x3 de Beauty tool, accesorio de belleza pensado para facilitar tareas de aplicación, difuminado o arreglo dentro de la rutina personal, según el tipo de herramienta. Su formato práctico permite complementar los productos que ya utilizas. Revisa la referencia y confirma disponibilidad con LIHEN.CO.;Por confirmar;Por confirmar;Consulta disponibilidad;;;;No;0
B96;BC-052;Activo;No;Beauty Care;Skincare / rostro;Mascarilla;Mascarillas en velo;Bioaqua;2500;Disponible;Mascarillas faciales en velo Bioaqua para complementar una rutina de cuidado de forma práctica. El catálogo oficial de la marca reúne distintas referencias de mascarillas, por lo que el beneficio específico depende de la variante disponible. Confirma con LIHEN.CO cuál referencia se encuentra disponible para elegir la opción adecuada sin atribuirle propiedades que correspondan a otra fórmula.;Por confirmar;Por confirmar;Consulta disponibilidad;;;;No;0
B97;BC-007;Activo;No;Beauty Care;Accesorios Beauty Care;Beauty Blender;Big Blender;Bloomshell;11000;Disponible;Bloom Big Blender de Bloomshell, accesorio tipo esponja diseñado para apoyar la aplicación y difuminado del maquillaje. Su formato permite trabajar el producto de manera práctica en distintas zonas del rostro. Es una opción útil para complementar la rutina de maquillaje y lograr una aplicación más uniforme según la técnica y el cosmético utilizado.;Por confirmar;Por confirmar;Consulta disponibilidad;;;;No;0
B102;BC-070;Activo;No;Beauty Care;Maquillaje / rostro;Contorno;Contorno Tono 03;Bloomshell;28000;Disponible;Contorno Tono 03 de Bloomshell, producto de maquillaje para aportar dimensión, color o acabado al rostro según su función dentro de la rutina. La referencia corresponde a 03. Permite complementar diferentes estilos de maquillaje sin necesidad de atribuirle beneficios ajenos a su categoría. Confirma tono, presentación y disponibilidad con LIHEN.CO.;Por confirmar;Por confirmar;Consulta disponibilidad;;;;No;0
B103;BC-035;Activo;No;Beauty Care;Maquillaje / rostro;Corrrector;Corrector 10ml  LIGHT 00;Bloomshell;25000;Disponible / por confirmar;"Corrector My Concealer Bloomshell de 10 ml en tono Light 00. Es una referencia de maquillaje para trabajar zonas puntuales del rostro y complementar la base según el acabado deseado. El tono Light 00 permite identificar claramente la variante; confirma que sea el tono que buscas antes de realizar tu pedido.";Por confirmar;Por confirmar;Consulta disponibilidad;;;;No;0
B104;BC-036;Activo;No;Beauty Care;Maquillaje / rostro;Corrrector;Corrector 10ml  NATURAL 01;Bloomshell;25000;Disponible;Corrector 10ml  NATURAL 01 de Bloomshell, corrector de maquillaje para complementar la preparación del rostro y trabajar un acabado más uniforme según la técnica de aplicación. Combínalo con el resto de tu rutina de maquillaje y confirma con LIHEN.CO que el tono disponible corresponda a lo que buscas.;Por confirmar;Por confirmar;Consulta disponibilidad;;;;No;0
B105;BC-034;Activo;No;Beauty Care;Maquillaje / rostro;Corrrector;Corrector 10ml IVORY 04;Bloomshell;25000;Disponible / por confirmar;Corrector 10ml IVORY 04 de Bloomshell, corrector de maquillaje para complementar la preparación del rostro y trabajar un acabado más uniforme según la técnica de aplicación. Combínalo con el resto de tu rutina de maquillaje y confirma con LIHEN.CO que el tono disponible corresponda a lo que buscas.;Por confirmar;Por confirmar;Consulta disponibilidad;;;;No;0
